file_name,picture_word,first_letter
supermarket.jpg,Aisle,A
supermarket.jpg,Groceries,G
supermarket.jpg,Cereal,C
supermarket.jpg,Lights,L
supermarket.jpg,Trolley,T
supermarket.jpg,Sale,S
baby1.jpg,Baby,B
baby1.jpg,Bucket,B
baby1.jpg,Jug,J
baby1.jpg,Water,W
baby1.jpg,Blue,B
baby1.jpg,Happy,H
baby1.jpg,Naughty,N
baby1.jpg,Naked,N
baby1.jpg,Bath,B
laptop.jpg,Memory,M
laptop.jpg,Working,W
laptop.jpg,Phone,P
laptop.jpg,Glass,G
laptop.jpg,Plant,P
laptop.jpg,Pen,P
laptop.jpg,Desk,D
laptop.jpg,Keyboard,K
friends_eating.jpg,Dinner,D
friends_eating.jpg,Friends,F
friends_eating.jpg,Burger,B
friends_eating.jpg,Water,W
friends_eating.jpg,Fork,F
friends_eating.jpg,Knife,K
friends_eating.jpg,Fries,F
friends_eating.jpg,Table,T
friends_eating.jpg,Restaurant,R
friends_eating.jpg,Chatting,C
friends_eating.jpg,Meal,M
friends_eating.jpg,Lunch,L
friends_eating.jpg,Ketchup,K
friends_eating.jpg,Salt,S
friends_eating.jpg,Pepper,P
friends_eating.jpg,Bill,B
friends_eating.jpg,Waiter,W
berry_smoothie.jpg,Berries,B
berry_smoothie.jpg,Straw,S
berry_smoothie.jpg,Cold,C
berry_smoothie.jpg,Blueberry,B
berry_smoothie.jpg,Mint,M
berry_smoothie.jpg,Drink,D
berry_smoothie.jpg,Breakfast,B
berry_smoothie.jpg,Refreshing,R
berry_smoothie.jpg,Healthy,H
berry_smoothie.jpg,Glass,G
berry_smoothie.jpg,Pink,P
iphone.jpg,Apps,A
iphone.jpg,Games,G
iphone.jpg,Phone,P
iphone.jpg,Apple,A
iphone.jpg,Samsung,S
iphone.jpg,Nokia,N
iphone.jpg,Whatsapp,W
iphone.jpg,Music,M
iphone.jpg,Computer,C
iphone.jpg,Organizer,O
iphone.jpg,Notes,N
iphone.jpg,Battery,B
iphone.jpg,Sim Card,S
iphone.jpg,Wireless,W
iphone.jpg,Cellphone,C
